keys,zh_CN,ja,ko,en
"专注","专注","集中","집중","Focus"
"无法预览","无法预览","プレビューできません","미리보기 불가","Unable to preview"
"当前棋谱没有可预览的笔记。","当前棋谱没有可预览的笔记。","現在の棋譜にはプレビューできるノートがありません。","현재 기보에는 미리 볼 노트가 없습니다.","The current game record has no notes to preview."
"设置","设置","設定","설정","Settings"
"界面语言","界面语言","表示言語","인터페이스 언어","Interface language"
"屏幕左右边距（移动端用）","屏幕左右边距（移动端用）","画面左右余白（モバイル用）","화면 좌우 여백(모바일용)","Screen side margins (mobile)"
"棋盘横向宽度占比","棋盘横向宽度占比","碁盤の横幅比率","바둑판 가로 너비 비율","Board width percentage"
"大尺寸界面（移动端用）","大尺寸界面（移动端用）","大きな UI（モバイル用）","큰 UI(모바일용)","Large UI (mobile)"
"大尺寸界面倍率必须在 0.7 到 2.0 之间。","大尺寸界面倍率必须在 0.7 到 2.0 之间。","大きな UI の倍率は 0.7～2.0 の範囲で指定してください。","큰 UI 배율은 0.7~2.0 사이여야 합니다.","The large UI multiplier must be between 0.7 and 2.0."
"Gotepad 版本","Gotepad 版本","Gotepad バージョン","Gotepad 버전","Gotepad version"
"Gotepad 版本 %s","Gotepad 版本 %s","Gotepad バージョン %s","Gotepad 버전 %s","Gotepad version %s"
"棋盘纹理","棋盘纹理","碁盤のテクスチャ","바둑판 텍스처","Board texture"
"棋子纹理","棋子纹理","碁石のテクスチャ","바둑돌 텍스처","Stone texture"
"浅色木纹","浅色木纹","明るい木目","밝은 나뭇결","Light wood"
"深色木纹","深色木纹","濃い木目","어두운 나뭇결","Dark wood"
"亮面棋子","亮面棋子","光沢のある碁石","유광 바둑돌","Glossy stones"
"哑光棋子","哑光棋子","つや消し碁石","무광 바둑돌","Matte stones"
"显示手数","显示手数","手数表示","수순 표시","Move numbers"
"绝对手数","绝对手数","絶対手数","절대 수순","Absolute numbering"
"勾选后使用当前分支中的绝对落子手数","勾选后使用当前分支中的绝对落子手数","現在の分岐内の絶対手数を使用します","현재 분기의 절대 수순을 사용합니다","Use absolute move numbers within the current branch"
"1手","1手","1手","1수","1 move"
"10手","10手","10手","10수","10 moves"
"所有","所有","すべて","모두","All"
"指定手数","指定手数","手数を指定","수순 지정","Custom count"
"播放间隔","播放间隔","再生間隔","재생 간격","Playback interval"
"落子音效","落子音效","着手音","착수 소리","Stone sound"
"设置实际落子时的音效音量","设置实际落子时的音效音量","実際に着手したときの音量を設定します","실제 착수 시의 소리 크기를 설정합니다","Set the volume used when placing a stone"
"PPTX 棋盘图片","PPTX 棋盘图片","PPTX 碁盤画像","PPTX 바둑판 이미지","PPTX board image"
"SVG (矢量)","SVG (矢量)","SVG (ベクター)","SVG (벡터)","SVG (vector)"
"PNG (兼容)","PNG (兼容)","PNG (互換性重視)","PNG (호환)","PNG (compatible)"
